"","lizard_id","position","species","sex","trt","clutch","age.start","date_end_training","date_first_trial","days_since_training","group","trial_associative","position_feeder_associative","FC_associative","notes_associative","reinforcement","trial_reversal","position_feeder_reversal","FC_reversal","reinfor_reversal","notes_reversal","blue_asso"
"74",2081,"G3","guichenoti","Male","B_23","CL562_22",52,"3/4/2023","13/4/2023",10,"B_R",2,"C",0,"",1,2,"L",1,1,"",NA
"75",1410,"A1","delicata","Female","A_28","CL379_22",120,"28/3/2023","13/4/2023",16,"R_B",3,"R",0,"",1,3,"C",1,1,"",NA
"76",2073,"A1","delicata","Male","B_23","CL560_22",57,"22/3/2023","13/4/2023",22,"B_R",3,"R",1,"",1,3,"L",1,1,"",NA
"77",1373,"A2","guichenoti","Female","A_28","CL370_22",120,"24/3/2023","13/4/2023",20,"B_R",3,"C",1,"",1,3,"L",0,1,"",NA
"78",1562,"A4","guichenoti","Female","B_28","CL423_22",101,"26/3/2023","13/4/2023",18,"B_R",3,"C",0,"",1,3,"C",0,1,"",NA
"79",1609,"A4","guichenoti","Female","A_28","CL437_22",101,"25/3/2023","13/4/2023",19,"B_R",3,"R",0,"",0,3,"L",0,1,"",NA
"80",1438,"B1","guichenoti","Male","B_28","CL386_22",113,"21/3/2023","13/4/2023",23,"B_R",3,"L",NA,"",0,3,"C",0,1,"",NA
"81",1240,"B2","delicata","Female","A_28","CL330_22",132,"30/3/2023","13/4/2023",14,"B_R",3,"C",NA,"",0,3,"R",0,1,"",NA
"82",1205,"B4","delicata","Male","A_28","CL320_22",136,"31/3/2023","13/4/2023",13,"R_B",3,"C",0,"",1,3,"C",1,1,"",NA
"83",1296,"B4","delicata","Female","B_23","CL348_22",108,"5/4/2023","13/4/2023",8,"B_R",3,"C",1,"",1,3,"L",0,1,"",NA
"84",1399,"B4","delicata","Male","A_23","CL377_22",97,"3/4/2023","13/4/2023",10,"R_B",3,"C",0,"",0,3,"R",0,1,"",NA
"85",1366,"C1","guichenoti","Female","A_28","CL368_22",127,"1/4/2023","13/4/2023",12,"B_R",3,"R",NA,"",0,3,"L",0,1,"",NA
"86",1463,"C1","guichenoti","Female","B_28","CL396_22",111,"27/3/2023","13/4/2023",17,"B_R",3,"C",0,"",0,3,"R",0,1,"",NA
"87",1322,"C2","delicata","Male","B_23","CL356_22",108,"26/3/2023","13/4/2023",18,"R_B",3,"C",NA,"",0,3,"L",1,1,"",NA
"88",1611,"C3","guichenoti","Female","B_28","CL438_22",99,"26/3/2023","13/4/2023",18,"B_R",3,"L",1,"",1,3,"C",0,1,"",NA
"89",2105,"C4","delicata","Female","B_23","CL569_22",59,"1/4/2023","13/4/2023",12,"B_R",3,"R",NA,"",0,3,"C",0,1,"",NA
"90",1177,"D1","guichenoti","Male","A_23","CL314_22",125,"28/3/2023","13/4/2023",16,"R_B",3,"R",NA,"",0,3,"C",0,1,"",NA
"91",1479,"D1","guichenoti","Female","A_28","CL400_22",108,"28/3/2023","13/4/2023",16,"R_B",3,"L",0,"",0,3,"R",0,1,"",NA
"92",1371,"D3","guichenoti","Male","A_23","CL370_22",94,"27/3/2023","13/4/2023",17,"B_R",3,"C",NA,"",0,3,"C",0,1,"",NA
"93",1166,"D4","delicata","Female","A_28","CL312_22",143,"4/4/2023","13/4/2023",9,"R_B",3,"C",0,"",1,3,"C",1,1,"",NA
"94",1442,"E1","guichenoti","Male","B_23","CL388_22",94,"21/3/2023","13/4/2023",23,"B_R",3,"L",0,"",0,3,"R",0,0,"",NA
"95",1174,"E2","delicata","Male","A_23","CL313_22",132,"31/3/2023","13/4/2023",13,"R_B",3,"L",NA,"More than one cricket eaten",1,3,"C",0,1,"",NA
"96",1402,"E2","delicata","Male","A_28","CL377_22",118,"1/4/2023","13/4/2023",12,"R_B",3,"C",NA,"More than one cricket eaten",1,3,"L",0,1,"",NA
"97",1443,"E3","guichenoti","Male","A_23","CL388_22",94,"20/3/2023","13/4/2023",24,"R_B",3,"C",0,"",0,3,"R",0,1,"",NA
"98",1239,"E4","delicata","Female","A_23","CL329_22",113,"30/3/2023","13/4/2023",14,"B_R",3,"L",NA,"",0,3,"L",0,1,"",NA
"99",1230,"F1","delicata","Female","B_28","CL327_22",132,"29/3/2023","13/4/2023",15,"B_R",3,"R",1,"",1,3,"L",0,1,"",NA
"100",1487,"F1","delicata","Male","A_23","CL402_22",85,"20/3/2023","13/4/2023",24,"B_R",3,"L",NA,"",0,3,"C",0,0,"",NA
"101",2351,"F1","delicata","Male","A_28","CL634_23",59,"6/4/2023","13/4/2023",7,"B_R",3,"R",0,"",1,3,"R",0,1,"",NA
"102",1419,"F2","guichenoti","Female","A_28","CL382_22",118,"20/3/2023","13/4/2023",24,"B_R",3,"L",0,"",0,3,"C",1,1,"",NA
"103",1580,"F2","guichenoti","Female","B_28","CL428_22",99,"20/3/2023","13/4/2023",24,"R_B",3,"C",0,"",1,3,"L",0,1,"",NA
"104",1424,"F3","delicata","Female","A_23","CL383_22",97,"31/3/2023","13/4/2023",13,"B_R",3,"R",1,"",1,3,"C",1,1,"",NA
"105",2486,"F3","delicata","Female","B_28","CL677_23",45,"2/4/2023","13/4/2023",11,"B_R",3,"C",0,"",1,3,"L",0,1,"",NA
"106",1467,"F4","guichenoti","Female","A_28","CL397_22",111,"20/3/2023","13/4/2023",24,"R_B",3,"L",0,"",1,3,"C",0,1,"",NA
"107",1674,"G1","guichenoti","Female","B_23","CL455_22",94,"6/4/2023","13/4/2023",7,"R_B",3,"R",NA,"",0,3,"C",1,1,"",NA
"108",2009,"G1","guichenoti","Male","A_28","CL542_22",78,"3/4/2023","13/4/2023",10,"B_R",3,"R",NA,"",0,3,"R",0,1,"",NA
"109",1258,"G2","delicata","Female","A_28","CL334_22",129,"28/3/2023","13/4/2023",16,"B_R",3,"C",1,"",1,3,"R",NA,0,"",NA
"110",1408,"G2","delicata","Female","B_28","CL379_22",120,"28/3/2023","13/4/2023",16,"R_B",3,"C",0,"",1,3,"L",0,1,"",NA
